name,stars,price_level,cuisine,city,country,year,lat,lng,address
Kilian Stuba,1,5.0,Creative,Kleinwalsertal,Austria,2019,47.34858,10.17114,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba
Pfefferschiff,1,5.0,Classic cuisine,Hallwang,Austria,2019,47.83787,13.07917,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff
Esszimmer,1,5.0,Creative,Salzburg,Austria,2019,47.80685,13.03409,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer
Carpe Diem,1,5.0,Market cuisine,Salzburg,Austria,2019,47.80001,13.04006,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem
Edvard,1,4.0,Modern cuisine,Wien,Austria,2019,48.216503,16.36852,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard
Das Loft,1,5.0,Modern cuisine,Wien,Austria,2019,48.21272,16.37931,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft
Pramerl & the Wolf,1,5.0,Creative,Wien,Austria,2019,48.20945,16.37174,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf
Walter Bauer,1,5.0,Classic cuisine,Wien,Austria,2019,48.20923,16.37672,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer
SHIKI,1,5.0,Japanese,Wien,Austria,2019,48.204067,16.37098,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki
Tian,1,5.0,Vegetarian,Wien,Austria,2019,48.20513,16.37456,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian
aend,1,5.0,Modern cuisine,Wien,Austria,2019,48.18957,16.34115,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend
Le Ciel by Toni Mörwald,1,5.0,Classic cuisine,Wien,Austria,2019,48.20209,16.37156,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald
Chez TJ,1,4.0,Contemporary,South San Francisco,California,2019,37.39468,-122.08044,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj
Protégé,1,3.0,Contemporary,South San Francisco,California,2019,37.427853,-122.14362,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege
Madera,1,3.0,Contemporary,San Francisco,California,2019,37.42014,-122.21151,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera
The Village Pub,1,3.0,Contemporary,San Francisco,California,2019,37.42897,-122.25178,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub
Plumed Horse,1,4.0,Contemporary,South San Francisco,California,2019,37.25648,-122.03537,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse
Wakuriya,1,4.0,Japanese,San Francisco,California,2019,37.52114,-122.3366,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya
Sushi Yoshizumi,1,4.0,Japanese,San Francisco,California,2019,37.565075,-122.3211,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi
